tstep_number|time|error_1|error_2
77|0.231|0.002847403529041743|0.07706117403175738
78|0.234|0.0028009206083188035|0.07484952166995572
79|0.237|0.002754743701394354|0.07270134363528338
80|0.24|0.0027088940186299182|0.07061481821729707
81|0.243|0.002663391286613459|0.06858817598856441
82|0.246|0.0026182538162724807|0.06661969830414365
83|0.249|0.0025734985682878708|0.06470771584412881
84|0.252|0.0025291412159066952|0.06285060719802281
85|0.255|0.002485196205251011|0.06104679748973973
86|0.258|0.0024416768132137024|0.05929475704206933
87|0.261|0.0023985952030314006|0.05759300007947096
88|0.264|0.0023559624776201106|0.05594008346809781
89|0.267|0.00231378873075669|0.0543346054919822
90|0.27|0.002272083096185575|0.05277520466434389
91|0.273|0.0022308537947288024|0.05126055857301442
92|0.276|0.002190108179473515|0.04978938275899739
93|0.279|0.0021498527791081723|0.04836042962721402
94|0.282|0.0021100933394778503|0.046972487388510314
95|0.285|0.0020708348634243174|0.045624379032028664
96|0.288|0.002032081648976137|0.044314961327072175
97|0.291|0.0019938373259504984|0.043043123853615355
98|0.294|0.0019561048910270934|0.041807788060639506
99|0.297|0.0019188867413514445|0.0406079063514936
100|0.3|0.001882184706723565|0.039442461195505076
101|0.303|0.0018460000804256806|0.038310464265087676
102|0.306|0.0018103336487411829|0.03721095559761419
103|0.309|0.001775185719213962|0.03614300278134325
104|0.312|0.0017405561476969542|0.03510570016471012
105|0.315|0.0017064443642362524|0.03409816808831087
106|0.318|0.0016728493978351302|0.03311955213892836
107|0.321|0.0016397699001414916|0.03216902242496776
108|0.324|0.0016072041681004158|0.031245772872687275
109|0.327|0.0015751501656113083|0.03034902054262652
110|0.33|0.0015436055442288508|0.029478004965653764
111|0.333|0.001512567662944888|0.02863198749806858
112|0.336|0.0014820336070865297|0.027810250695212656
113|0.339|0.0014520002063659653|0.027012097703058433
114|0.342|0.0014224640521146284|0.026236851667258806
115|0.345|0.0013934215137337434|0.025483855159157087
116|0.348|0.0013648687543928253|0.02475246961827062
117|0.351|0.0013368017460051933|0.0240420748107751
118|0.354|0.001309216283509313|0.023352068303530017
119|0.357|0.0012821079984841393|0.02268186495319991
120|0.36|0.0012554723721245108|0.02203089641003789
121|0.363|0.0012293047476020474|0.02139861063591007
122|0.366|0.0012036003418372425|0.020784471436153286
123|0.369|0.0011783542567051109|0.020187958004867886
124|0.372|0.0011535614896985773|0.019608564483261048
125|0.375|0.0011292169440706126|0.019045799530665403
126|0.378|0.001105315438477339|0.01849918590786959
127|0.381|0.001081851716141389|0.017968260072406907
128|0.384|0.0010588204535559717|0.01745257178545935
129|0.387|0.0010362162687485804|0.01695168373004357
130|0.39|0.0010140337291220233|0.01646517114015474
131|0.393|0.0009922673588907253|0.015992621440553963
132|0.396|0.0009709116461290214|0.015533633896893844
133|0.399|0.0009499610494478166|0.015087819275885516
134|0.402|0.0009294100043147607|0.014654799515218513
135|0.405|0.0009092529290338255|0.014234207402954458
136|0.408|0.0008894842303977487|0.01382568626612172
137|0.411|0.0008700983090278333|0.013428889668247429
138|0.414|0.0008510895644146006|0.013043481115570667
139|0.417|0.000832452399671383|0.012669133771686717
140|0.42|0.0008141812260142755|0.012305530180381656
141|0.423|0.0007962704669794573|0.01195236199642112
142|0.426|0.0007787145623897334|0.011609329724065661
143|0.429|0.0007615079720812966|0.011276142463090619
144|0.432|0.0007446451794008605|0.010952517662095127
145|0.435|0.0007281206944841344|0.010638180878891394
146|0.438|0.0007119290573243782|0.010332865547770485
147|0.441|0.0006960648406411799|0.010036312753447773
148|0.444|0.000680522652558347|0.009748271011496171
149|0.447|0.0006652971390989626|0.009468496055080721
150|0.45|0.0006503829865068778|0.009196750627814028
151|0.453|0.0006357749234019033|0.008932804282556878
152|0.456|0.0006214677227764696|0.008676433185992915
153|0.459|0.0006074562038414154|0.00842741992881222
154|0.462|0.0005937352337278493|0.008185553341342753
155|0.465|0.0005802997290516088|0.007950628314472867
156|0.468|0.0005671446573473245|0.007722445625713601
157|0.471|0.0005542650383777073|0.007500811770252775
158|0.474|0.0005416559453247921|0.007285538796857995
159|0.477|0.0005293125058682161|0.007076444148489051
160|0.48|0.0005172299031565423|0.006873350507484915
161|0.483|0.0005054033766766495|0.0066760856451937595
162|0.486|0.000493828223026417|0.006484482275918624
163|0.489|0.00048249979659542445|0.006298377915054794
164|0.492|0.0004714135101585924|0.006117614741298699
165|0.495|0.00046056483538697417|0.005942039462811416
166|0.498|0.00044994930327991827|0.0057715031872230165
167|0.501|0.000439562504523322|0.0056058612953682465
168|0.504|0.0004294000897773505|0.00544497331864573
169|0.507|0.00041945776989696|0.0052887028198966785
170|0.51|0.00040973131609039175|0.005136917277703033
171|0.513|0.0004002165600172886|0.004989487974005574
172|0.516|0.000390909393831134|0.004846289884947896
173|0.519|0.0003818057701681827|0.004707201574852783
174|0.522|0.00037290170208690074|0.004572105093241847
175|0.525|0.0003641932629595685|0.004440885874810156
176|0.528|0.00035567658632031996|0.004313432642272198
177|0.531|0.00034734786567093995|0.004189637311995729
178|0.534|0.00033920335424765226|0.004069394902344013
179|0.537|0.00033123936475138366|0.003952603444648788
180|0.54|0.00032345226904339076|0.0038391638967381686
181|0.543|0.0003158384978088033|0.003728980058946319
182|0.546|0.0003083945401901553|0.0036219584925336135
183|0.549|0.0003011169433927285|0.003518008440448242
